time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2015-01-02 00:00:00,0.0,0.0,1000,1000.0,0,0,"{'maxPortfolioValue': 0, 'maxDrawdown': 0}",0,0,0,0
2015-01-05 00:00:00,1.0,0.0,1000.0,1000.0,0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-06 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-07 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-08 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-09 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-12 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-13 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-14 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-15 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-16 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-19 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-20 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-21 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-22 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-23 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-26 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-27 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-28 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-29 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-30 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-02 00:00:00,-1.0,0.0,896.9747211,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-03 00:00:00,-1.0,-0.018273000000007755,896.95736175,999.981727,1.5203583551093701e-05,103.02527889999999,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0.018273000000021966}",0,0.018273000000007755,0,1
2015-02-04 00:00:00,-1.0019539238389945,-0.8501740000000098,896.1670558000001,999.149826,0.030156461330734175,103.04263824999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0.8501740000000382}",0,0.8501740000000098,0,2
2015-02-05 00:00:00,-1.0839093187099136,-1.630279999999999,895.4259551000001,998.36972,0.05465490875804198,103.83294419999993,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 1.6302799999999706}",0,1.630279999999999,0,3
2015-02-06 00:00:00,-1.177106304086227,-0.7033160000000009,896.3065709000001,999.296684,0.08708599765691552,104.57404489999988,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 1.6302799999999706}",0.9269639999999981,1.630279999999999,1,3
2015-02-09 00:00:00,-1.0708264145801816,-1.428360000000012,895.6177791000001,998.57164,0.10428506004971147,104.57404489999988,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 1.6302799999999706}",0.9269639999999981,2.35532400000001,1,4
2015-02-10 00:00:00,-1.118624551169483,-3.5392380000000117,893.6124450000001,996.4607619999999,0.2666175635003244,104.57404489999988,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 3.5392380000000685}",0.9269639999999981,4.46620200000001,1,5
2015-02-11 00:00:00,-1.2413246585032287,-6.164101000000002,891.1188251500001,993.835899,0.5068471137200429,106.3875549999999,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.16410099999996}",0.9269639999999981,7.091065,1,6
2015-02-12 00:00:00,-1.3824842815745564,-7.614182,889.7412482000001,992.385818,0.5681300377464694,108.88117484999987,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 7.614182000000028}",0.9269639999999981,8.541145999999998,1,7
2015-02-13 00:00:00,-1.456349647293427,-8.183197000000007,889.2006839500001,991.8168029999999,0.5670912206132379,110.25875179999991,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 8.183197000000064}",0.9269639999999981,9.110161000000005,1,8
2015-02-16 00:00:00,-1.4904530867114332,-8.183197000000007,889.2006839500001,991.8168029999999,0.5555663451722976,110.7993160499999,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 8.183197000000064}",0.9269639999999981,9.110161000000005,1,8
2015-02-17 00:00:00,-1.4710212897879085,-8.87152900000001,888.5467685500001,991.128471,0.5598254185870191,110.7993160499999,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 8.87152900000001}",0.9269639999999981,9.798493000000008,1,9
2015-02-18 00:00:00,-1.4877106820522128,-9.688370000000006,887.7707696000001,990.31163,0.5704009989574255,111.45323144999986,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 9.688369999999964}",0.9269639999999981,10.615334000000004,1,10
2015-02-19 00:00:00,-1.5399728206968006,-9.440552000000011,888.0061967000001,990.559448,0.5623196786928853,112.22923039999989,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 9.688369999999964}",1.1747819999999933,10.615334000000004,2,10
2015-02-20 00:00:00,-1.4993416375057276,-10.404221000000007,887.0907111500002,989.595779,0.5798173665894488,112.22923039999989,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 10.404221000000007}",1.1747819999999933,11.579003,2,11
2015-02-23 00:00:00,-1.4703919768494664,-13.616417000000013,884.0391249500002,986.383583,0.8600710922437629,112.90928884999983,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",1.1747819999999933,14.791199000000006,2,12
2015-02-24 00:00:00,-1.6375792676959595,-12.854652999999999,884.7628007500002,987.145347,0.8626031819366647,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",1.936546000000007,14.791199000000006,3,12
2015-02-25 00:00:00,-1.7041958882067207,-9.752594000000002,887.7097568000003,990.247406,1.0996152452129713,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",5.038605000000004,14.791199000000006,4,12
2015-02-26 00:00:00,-1.4937936520899917,-11.248566000000011,886.2885834000002,988.751434,1.1349501954835828,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",5.038605000000004,16.287171000000015,4,13
2015-02-27 00:00:00,-1.626608172067929,-9.44973800000001,887.9974700000002,990.550262,1.1925879867783087,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",6.837433000000004,16.287171000000015,5,13
2015-03-02 00:00:00,-1.5099781199828843,-10.027916000000005,887.4482009000003,989.972084,1.1762910953169285,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",6.837433000000004,16.86534900000001,5,14
2015-03-03 00:00:00,-1.5340390433314435,-10.27571900000001,887.2127880500003,989.724281,1.154347778383674,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",6.837433000000004,17.113152000000014,5,15
2015-03-04 00:00:00,-1.5700841229948526,-9.523140000000012,887.9277381000003,990.47686,1.1446749746072924,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",7.5900120000000015,17.113152000000014,6,15
